time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City
2024-01-01,4.2,2.0,7.8,0.0,0.0,156.0,9.8,24.1,1004.1,85.0,Szczecin
2024-01-02,4.2,2.0,6.5,0.8,0.0,129.0,16.0,38.9,1000.3,0.0,Szczecin
2024-01-03,6.7,4.0,10.2,11.7,0.0,157.0,14.2,35.2,988.3,0.0,Szczecin
2024-01-04,3.3,-1.0,9.1,2.3,0.0,272.0,14.1,37.0,994.9,0.0,Szczecin
2024-01-05,-1.4,-3.0,0.8,1.0,0.0,63.0,11.4,35.2,1007.9,0.0,Szczecin
2024-01-06,-1.8,-3.0,-0.9,3.3,51.0,56.0,13.9,33.3,1013.6,0.0,Szczecin
2024-01-07,-2.9,-7.0,0.3,3.3,79.0,35.0,9.9,27.8,1023.5,0.0,Szczecin
2024-01-08,-6.9,-10.0,-3.7,0.0,71.0,32.0,9.6,25.9,1034.3,418.0,Szczecin
2024-01-09,-8.7,-14.0,-3.8,0.0,61.0,157.0,4.8,13.0,1037.7,419.0,Szczecin
2024-01-10,-5.9,-11.5,-2.0,0.0,100.0,213.0,6.1,16.7,1033.6,0.0,Szczecin
2024-01-11,-0.4,-3.0,2.0,0.0,100.0,293.0,15.6,25.9,1027.7,0.0,Szczecin
2024-01-12,-1.8,-5.0,2.2,0.0,30.0,243.0,9.8,25.9,1025.7,0.0,Szczecin
2024-01-13,1.3,0.0,3.0,2.0,90.0,241.0,16.3,38.9,1010.9,0.0,Szczecin
2024-01-14,1.9,1.0,3.2,1.8,0.0,244.0,16.7,37.0,998.0,20.0,Szczecin
2024-01-15,-0.1,-3.0,2.2,1.0,0.0,265.0,25.1,50.0,989.6,6.0,Szczecin
2024-01-16,-4.1,-8.0,-0.3,0.5,10.0,197.0,7.1,22.2,1003.6,41.0,Szczecin
2024-01-17,-2.2,-4.0,0.1,0.8,20.0,160.0,14.9,27.8,995.9,53.0,Szczecin
2024-01-18,-3.5,-6.0,-0.7,0.0,10.0,238.0,6.8,24.1,995.1,0.0,Szczecin
2024-01-19,-1.2,-5.0,2.0,0.0,10.0,220.0,14.2,42.6,1010.3,167.0,Szczecin
2024-01-20,2.0,0.0,3.4,0.0,20.0,237.0,19.2,48.2,1020.6,12.0,Szczecin
2024-01-21,0.2,-3.0,3.7,0.0,0.0,169.0,17.1,40.8,1023.6,58.0,Szczecin
2024-01-22,5.4,2.0,9.1,0.5,0.0,187.0,20.5,55.5,1007.8,33.0,Szczecin
2024-01-23,5.3,4.0,8.1,2.3,0.0,226.0,17.9,46.3,1014.1,69.0,Szczecin
2024-01-24,7.3,4.0,10.8,5.8,0.0,230.0,26.3,63.0,1005.5,36.0,Szczecin
2024-01-25,5.7,2.0,8.6,5.1,0.0,284.0,31.1,63.0,1016.6,31.0,Szczecin
2024-01-26,4.2,0.9,8.2,0.0,0.0,213.0,19.6,55.5,1018.1,3.0,Szczecin
2024-01-27,5.2,4.0,7.3,5.1,0.0,282.0,27.7,55.5,1027.1,20.0,Szczecin
2024-01-28,3.6,-1.4,7.4,0.0,0.0,176.0,12.7,24.1,1034.3,480.0,Szczecin
2024-01-29,3.4,-0.1,9.5,0.0,0.0,149.0,16.2,25.9,1029.4,377.0,Szczecin
2024-01-30,3.5,-1.6,7.9,0.0,0.0,162.0,10.9,25.9,1027.4,246.0,Szczecin
2024-01-31,5.1,3.0,8.2,0.3,0.0,231.0,16.8,42.6,1026.3,51.0,Szczecin
2024-02-01,5.1,3.7,7.5,1.3,0.0,255.0,21.9,46.3,1018.9,158.0,Szczecin
2024-02-02,4.7,3.0,7.0,1.3,0.0,233.0,15.5,38.9,1019.2,0.0,Szczecin
2024-02-03,8.7,5.9,12.1,0.8,0.0,260.0,22.5,42.6,1013.2,78.0,Szczecin
2024-02-04,6.6,5.0,9.7,0.0,0.0,252.0,22.4,46.3,1010.0,0.0,Szczecin
2024-02-05,7.1,6.0,9.1,0.3,0.0,256.0,20.4,46.3,1005.4,0.0,Szczecin
2024-02-06,8.6,8.0,10.4,7.4,0.0,231.0,23.9,55.5,999.3,0.0,Szczecin
2024-02-07,2.6,-2.0,10.4,7.6,0.0,260.0,20.1,46.3,998.2,19.0,Szczecin
2024-02-08,0.1,-3.0,3.0,0.0,0.0,174.0,7.8,25.9,1001.5,0.0,Szczecin
2024-02-09,0.7,-0.6,2.0,9.4,0.0,90.0,15.4,38.9,994.4,0.0,Szczecin
2024-02-10,4.2,1.5,7.0,6.9,0.0,75.0,8.0,22.2,992.9,0.0,Szczecin
2024-02-11,5.7,4.0,7.4,3.8,0.0,54.0,10.3,27.8,992.6,0.0,Szczecin
2024-02-12,4.7,4.0,6.8,5.8,0.0,280.0,13.1,27.8,997.5,0.0,Szczecin
2024-02-13,6.0,4.8,9.1,2.8,0.0,232.0,11.6,27.8,1013.8,142.0,Szczecin
2024-02-14,4.3,1.0,8.0,4.1,0.0,152.0,12.7,24.1,1017.1,6.0,Szczecin
2024-02-15,9.9,7.3,12.0,3.6,0.0,176.0,10.9,22.2,1016.6,0.0,Szczecin
2024-02-16,11.1,8.0,14.8,0.5,0.0,163.0,17.2,31.5,1013.9,245.0,Szczecin
2024-02-17,6.3,0.0,13.3,2.8,0.0,279.0,16.8,31.5,1024.5,0.0,Szczecin
2024-02-18,2.6,-3.2,8.5,0.0,0.0,136.0,16.5,38.9,1028.8,146.0,Szczecin
2024-02-19,5.6,4.0,7.5,3.8,0.0,247.0,18.4,35.2,1015.4,0.0,Szczecin
2024-02-20,6.9,6.0,8.1,6.1,0.0,256.0,13.9,31.5,1019.1,0.0,Szczecin
2024-02-21,7.8,6.0,11.0,1.9,0.0,204.0,13.7,38.9,1013.0,78.0,Szczecin
2024-02-22,7.8,6.0,9.7,3.9,0.0,153.0,18.5,37.0,994.7,0.0,Szczecin
2024-02-23,7.9,3.0,11.5,1.8,0.0,186.0,17.8,44.5,993.6,404.0,Szczecin
2024-02-24,6.4,-0.2,12.6,0.0,0.0,158.0,10.9,31.5,1002.1,463.0,Szczecin
2024-02-25,5.7,0.9,12.0,0.8,0.0,137.0,14.8,31.5,1006.6,432.0,Szczecin
2024-02-26,4.7,-2.2,10.3,2.5,0.0,34.0,7.8,25.9,1007.8,388.0,Szczecin
2024-02-27,4.3,4.0,7.0,0.0,0.0,353.0,11.6,27.8,1015.1,0.0,Szczecin
2024-02-28,2.8,1.0,4.7,0.0,0.0,294.0,9.1,18.5,1020.2,0.0,Szczecin
2024-02-29,3.9,-1.9,8.7,0.0,0.0,137.0,17.6,33.3,1017.7,572.0,Szczecin
2024-03-01,9.6,6.8,13.9,0.0,0.0,125.0,18.1,35.2,1008.1,62.0,Szczecin
2024-03-02,10.4,5.0,13.5,0.0,0.0,113.0,15.6,25.9,1007.8,31.0,Szczecin
2024-03-03,10.4,7.9,14.4,0.0,0.0,89.0,13.6,31.5,1007.6,186.0,Szczecin
2024-03-04,7.6,4.0,12.7,0.0,0.0,55.0,11.6,25.9,1011.1,552.0,Szczecin
2024-03-05,2.7,0.0,8.2,0.0,0.0,30.0,8.2,24.1,1017.1,174.0,Szczecin
2024-03-06,3.7,0.0,6.4,0.5,0.0,24.0,6.7,18.5,1024.4,0.0,Szczecin
2024-03-07,3.2,-3.4,8.7,0.0,0.0,46.0,7.9,24.1,1027.6,619.0,Szczecin
2024-03-08,2.7,-4.6,9.4,0.0,0.0,80.0,8.5,24.1,1022.5,637.0,Szczecin
2024-03-09,5.5,-1.4,11.2,0.0,0.0,93.0,17.9,40.8,1013.1,423.0,Szczecin
2024-03-10,7.9,3.3,12.7,0.0,0.0,87.0,20.7,46.3,1007.2,345.0,Szczecin
2024-03-11,7.4,6.6,11.0,0.0,0.0,103.0,17.3,40.8,1005.7,0.0,Szczecin
2024-03-12,7.3,3.0,12.5,0.0,0.0,277.0,7.5,18.5,1012.6,139.0,Szczecin
2024-03-13,7.8,5.0,14.0,0.0,0.0,188.0,8.3,20.4,1015.9,217.0,Szczecin
2024-03-14,9.2,6.0,14.2,0.0,0.0,164.0,12.1,24.1,1013.5,21.0,Szczecin
2024-03-15,11.6,8.5,18.3,0.0,0.0,188.0,12.4,29.6,1009.1,316.0,Szczecin
2024-03-16,9.0,6.0,14.5,0.0,0.0,245.0,17.8,35.2,1011.4,153.0,Szczecin
2024-03-17,2.7,-2.0,8.0,2.3,0.0,323.0,17.5,37.0,1021.8,56.0,Szczecin
2024-03-18,0.4,-5.5,3.6,0.0,0.0,27.0,5.6,20.4,1022.2,83.0,Szczecin
2024-03-19,3.3,-2.1,9.1,0.0,0.0,124.0,11.8,33.3,1023.2,566.0,Szczecin
2024-03-20,7.7,2.0,14.0,0.0,0.0,144.0,11.8,24.1,1020.3,143.0,Szczecin
2024-03-21,8.4,5.0,13.5,0.8,0.0,245.0,10.3,20.4,1018.0,2.0,Szczecin
2024-03-22,8.5,6.0,12.2,0.5,0.0,218.0,12.2,35.2,1012.9,0.0,Szczecin
2024-03-23,5.8,2.0,10.2,2.3,0.0,236.0,8.5,24.1,1004.0,45.0,Szczecin
2024-03-24,4.2,0.0,7.0,0.4,0.0,192.0,13.0,38.9,999.7,35.0,Szczecin
2024-03-25,5.0,-1.0,9.0,0.2,0.0,234.0,7.6,22.2,1002.1,117.0,Szczecin
2024-03-26,5.3,-2.3,12.9,2.5,0.0,118.0,17.4,46.3,1001.7,481.0,Szczecin
2024-03-27,11.9,6.7,17.0,0.0,0.0,115.0,22.2,38.9,990.6,529.0,Szczecin
2024-03-28,11.3,7.0,14.0,0.0,0.0,174.0,20.0,44.5,987.6,158.0,Szczecin
2024-03-29,10.3,4.0,15.0,0.0,0.0,170.0,13.3,38.9,999.5,123.0,Szczecin
2024-03-30,14.9,6.0,22.0,0.0,0.0,111.0,11.8,35.2,1000.7,430.0,Szczecin
2024-03-31,14.0,7.0,21.0,0.0,0.0,143.0,7.7,18.5,997.6,254.0,Szczecin
